timestamp,location,vehicle_count,hour_of_day,day_of_week,congestion_level
2017-05-14 23:00:00,1,59,23,Sunday,High
2016-02-01 09:00:00,3,15,9,Monday,Low
2017-06-27 12:00:00,1,121,12,Tuesday,High
2016-01-25 13:00:00,3,26,13,Monday,Medium
2016-09-10 10:00:00,1,37,10,Saturday,High
2017-05-01 13:00:00,1,40,13,Monday,High
2017-03-10 22:00:00,1,73,22,Friday,High
2017-05-27 11:00:00,4,7,11,Saturday,Low
2016-03-04 19:00:00,2,11,19,Friday,Low
2017-05-04 15:00:00,1,95,15,Thursday,High
2016-04-01 09:00:00,2,11,9,Friday,Low
2017-05-11 15:00:00,1,94,15,Thursday,High
2017-02-04 23:00:00,2,15,23,Saturday,Low
2016-08-06 14:00:00,3,8,14,Saturday,Low
2017-06-21 21:00:00,2,40,21,Wednesday,High
2017-05-13 12:00:00,1,54,12,Saturday,High
2016-09-16 01:00:00,3,12,1,Friday,Low
2016-08-26 21:00:00,2,16,21,Friday,Low
2016-03-04 19:00:00,1,46,19,Friday,High
2016-10-23 06:00:00,1,26,6,Sunday,Medium
2017-01-21 00:00:00,1,60,0,Saturday,High
2016-06-15 18:00:00,1,48,18,Wednesday,High
2016-05-11 23:00:00,3,10,23,Wednesday,Low
2017-06-16 08:00:00,2,16,8,Friday,Low
2016-03-16 15:00:00,2,11,15,Wednesday,Low
2016-09-16 02:00:00,2,13,2,Friday,Low
2016-10-31 23:00:00,3,11,23,Monday,Low
2016-08-10 08:00:00,3,8,8,Wednesday,Low
2016-10-19 12:00:00,1,81,12,Wednesday,High
2016-06-18 00:00:00,1,37,0,Saturday,High
2016-11-03 09:00:00,1,45,9,Thursday,High
2016-10-18 10:00:00,1,62,10,Tuesday,High
2017-05-11 13:00:00,1,96,13,Thursday,High
2016-06-28 09:00:00,3,5,9,Tuesday,Low
2016-10-21 12:00:00,1,70,12,Friday,High
2017-01-04 09:00:00,1,49,9,Wednesday,High
2017-05-27 13:00:00,1,64,13,Saturday,High
2016-04-13 18:00:00,3,18,18,Wednesday,Low
2017-04-09 12:00:00,1,56,12,Sunday,High
2016-08-10 20:00:00,1,58,20,Wednesday,High
2017-01-02 23:00:00,4,13,23,Monday,Low
2016-11-16 00:00:00,2,21,0,Wednesday,Medium
2016-03-11 14:00:00,2,11,14,Friday,Low
2017-06-15 22:00:00,3,22,22,Thursday,Medium
2016-01-20 22:00:00,1,33,22,Wednesday,High
2016-04-19 16:00:00,2,14,16,Tuesday,Low
2015-11-30 21:00:00,2,10,21,Monday,Low
2016-12-16 05:00:00,1,31,5,Friday,High
2015-11-21 03:00:00,2,8,3,Saturday,Low
2016-11-11 01:00:00,2,16,1,Friday,Low
2017-04-28 03:00:00,1,41,3,Friday,High
2016-03-03 17:00:00,3,42,17,Thursday,High
2016-10-20 00:00:00,2,11,0,Thursday,Low
2017-04-19 21:00:00,1,91,21,Wednesday,High
2017-06-21 19:00:00,2,47,19,Wednesday,High
2015-11-13 11:00:00,1,41,11,Friday,High
2016-11-20 12:00:00,2,7,12,Sunday,Low
2016-06-26 17:00:00,3,5,17,Sunday,Low
2017-06-28 20:00:00,2,40,20,Wednesday,High
2016-10-03 06:00:00,2,12,6,Monday,Low
2016-09-05 02:00:00,3,7,2,Monday,Low
2017-02-28 08:00:00,1,49,8,Tuesday,High
2016-10-20 04:00:00,1,39,4,Thursday,High
2016-02-25 21:00:00,2,10,21,Thursday,Low
2016-01-05 09:00:00,2,6,9,Tuesday,Low
2016-09-01 05:00:00,3,7,5,Thursday,Low
2015-12-12 13:00:00,3,4,13,Saturday,Low
2016-07-08 21:00:00,1,43,21,Friday,High
2015-12-03 11:00:00,3,3,11,Thursday,Low
2017-03-17 08:00:00,3,12,8,Friday,Low
2017-06-16 03:00:00,1,47,3,Friday,High
2015-12-29 11:00:00,3,5,11,Tuesday,Low
2016-10-20 19:00:00,1,79,19,Thursday,High
2016-10-26 00:00:00,3,12,0,Wednesday,Low
2017-01-15 15:00:00,1,43,15,Sunday,High
2017-02-20 19:00:00,1,98,19,Monday,High
2017-04-27 15:00:00,4,9,15,Thursday,Low
2016-08-18 04:00:00,2,9,4,Thursday,Low
2017-02-10 20:00:00,3,62,20,Friday,High
2015-12-22 14:00:00,1,29,14,Tuesday,Medium
2017-05-09 21:00:00,2,31,21,Tuesday,High
2016-05-27 10:00:00,1,47,10,Friday,High
2016-07-01 21:00:00,1,47,21,Friday,High
2017-02-11 06:00:00,4,2,6,Saturday,Low
2017-02-22 23:00:00,4,8,23,Wednesday,Low
2017-05-13 19:00:00,2,19,19,Saturday,Low
2016-06-17 21:00:00,1,41,21,Friday,High
2016-12-02 22:00:00,1,75,22,Friday,High
2016-08-19 12:00:00,2,14,12,Friday,Low
2016-02-18 17:00:00,3,16,17,Thursday,Low
2016-11-26 09:00:00,2,7,9,Saturday,Low
2016-11-22 08:00:00,3,14,8,Tuesday,Low
2016-03-31 01:00:00,3,7,1,Thursday,Low
2016-03-21 03:00:00,3,4,3,Monday,Low
2015-12-02 09:00:00,1,32,9,Wednesday,High
2016-06-24 11:00:00,1,48,11,Friday,High
2017-04-16 21:00:00,1,59,21,Sunday,High
2017-04-04 02:00:00,1,53,2,Tuesday,High
2017-02-06 01:00:00,1,43,1,Monday,High
2016-02-22 08:00:00,2,8,8,Monday,Low
2016-09-14 07:00:00,1,33,7,Wednesday,High
2017-02-22 15:00:00,2,28,15,Wednesday,Medium
2017-06-22 17:00:00,1,102,17,Thursday,High
2017-05-18 13:00:00,2,30,13,Thursday,Medium
2016-11-07 04:00:00,1,34,4,Monday,High
2017-02-26 03:00:00,4,5,3,Sunday,Low
2016-04-29 14:00:00,1,43,14,Friday,High
2016-02-29 17:00:00,1,52,17,Monday,High
2016-12-03 10:00:00,1,54,10,Saturday,High
2016-04-11 19:00:00,3,14,19,Monday,Low
2017-06-11 11:00:00,3,9,11,Sunday,Low
2016-04-19 05:00:00,2,7,5,Tuesday,Low
2016-10-04 06:00:00,1,34,6,Tuesday,High
2016-12-18 05:00:00,3,5,5,Sunday,Low
2016-12-11 15:00:00,1,39,15,Sunday,High
2017-05-30 02:00:00,2,21,2,Tuesday,Medium
2017-06-23 03:00:00,1,50,3,Friday,High
2016-04-03 18:00:00,1,30,18,Sunday,Medium
2017-06-07 18:00:00,2,39,18,Wednesday,High
2017-05-01 16:00:00,1,35,16,Monday,High
2017-02-04 02:00:00,1,51,2,Saturday,High
2016-06-19 12:00:00,1,31,12,Sunday,High
2016-10-22 12:00:00,1,45,12,Saturday,High
2017-03-21 20:00:00,3,34,20,Tuesday,High
2016-04-14 12:00:00,1,36,12,Thursday,High
2016-11-06 21:00:00,1,55,21,Sunday,High
2017-02-21 09:00:00,1,64,9,Tuesday,High
2016-04-19 12:00:00,1,46,12,Tuesday,High
2017-06-09 12:00:00,1,102,12,Friday,High
2016-01-17 10:00:00,3,3,10,Sunday,Low
2015-12-23 23:00:00,1,23,23,Wednesday,Medium
2016-07-07 03:00:00,3,9,3,Thursday,Low
2015-11-26 20:00:00,1,31,20,Thursday,High
2016-05-09 10:00:00,1,52,10,Monday,High
2017-04-03 20:00:00,4,10,20,Monday,Low
2017-04-02 04:00:00,1,31,4,Sunday,High
2017-03-09 17:00:00,2,27,17,Thursday,Medium
2015-11-23 12:00:00,1,33,12,Monday,High
2017-01-19 08:00:00,1,51,8,Thursday,High
2017-05-07 05:00:00,4,3,5,Sunday,Low
2015-12-05 13:00:00,1,15,13,Saturday,Low
2017-05-20 09:00:00,1,46,9,Saturday,High
2017-04-02 23:00:00,1,69,23,Sunday,High
2016-11-21 21:00:00,3,16,21,Monday,Low
2016-02-21 18:00:00,1,28,18,Sunday,Medium
2017-03-04 12:00:00,2,10,12,Saturday,Low
2016-12-25 12:00:00,1,33,12,Sunday,High
2016-02-16 11:00:00,2,13,11,Tuesday,Low
2016-08-29 11:00:00,1,81,11,Monday,High
2017-01-12 20:00:00,3,18,20,Thursday,Low
2016-05-01 00:00:00,3,27,0,Sunday,Medium
2016-10-14 22:00:00,2,19,22,Friday,Low
2017-04-17 09:00:00,1,58,9,Monday,High
2016-11-29 11:00:00,1,75,11,Tuesday,High
2016-03-11 14:00:00,1,35,14,Friday,High
2015-11-22 22:00:00,3,20,22,Sunday,Medium
2016-09-26 21:00:00,1,66,21,Monday,High
2016-07-14 07:00:00,1,27,7,Thursday,Medium
2016-04-23 03:00:00,3,12,3,Saturday,Low
2016-04-06 15:00:00,1,38,15,Wednesday,High
2017-06-22 13:00:00,2,38,13,Thursday,High
2015-12-12 03:00:00,1,14,3,Saturday,Low
2016-12-12 06:00:00,3,7,6,Monday,Low
2016-03-26 14:00:00,2,9,14,Saturday,Low
2015-12-14 07:00:00,3,1,7,Monday,Low
2017-04-02 11:00:00,2,15,11,Sunday,Low
2016-08-29 03:00:00,1,22,3,Monday,Medium
2016-06-15 23:00:00,1,40,23,Wednesday,High
2016-01-19 08:00:00,2,6,8,Tuesday,Low
2016-05-07 18:00:00,3,9,18,Saturday,Low
2016-03-29 01:00:00,1,31,1,Tuesday,High
2017-04-02 17:00:00,4,7,17,Sunday,Low
2016-08-22 12:00:00,2,19,12,Monday,Low
2016-03-11 14:00:00,2,11,14,Friday,Low
2016-02-23 18:00:00,2,16,18,Tuesday,Low
2016-06-05 12:00:00,3,11,12,Sunday,Low
2016-11-08 02:00:00,1,56,2,Tuesday,High
2017-02-26 18:00:00,1,51,18,Sunday,High
2016-09-26 18:00:00,1,77,18,Monday,High
2016-04-02 07:00:00,1,16,7,Saturday,Low
2016-02-08 23:00:00,1,40,23,Monday,High
2015-12-21 11:00:00,1,39,11,Monday,High
2016-04-21 21:00:00,3,24,21,Thursday,Medium
2016-12-29 21:00:00,3,15,21,Thursday,Low
2016-08-07 15:00:00,3,10,15,Sunday,Low
2017-02-13 01:00:00,4,5,1,Monday,Low
2017-02-07 05:00:00,1,39,5,Tuesday,High
2016-11-07 07:00:00,1,40,7,Monday,High
2016-07-22 11:00:00,3,33,11,Friday,High
2017-05-15 15:00:00,4,7,15,Monday,Low
2016-04-05 16:00:00,1,40,16,Tuesday,High
2016-04-12 15:00:00,3,20,15,Tuesday,Medium
2016-02-11 04:00:00,1,22,4,Thursday,Medium
2016-12-17 19:00:00,1,52,19,Saturday,High
2016-07-04 04:00:00,2,6,4,Monday,Low
2017-03-01 20:00:00,3,38,20,Wednesday,High
2016-06-28 16:00:00,3,14,16,Tuesday,Low
2017-04-11 11:00:00,3,28,11,Tuesday,Medium
2015-12-16 04:00:00,2,5,4,Wednesday,Low
2016-10-02 13:00:00,1,41,13,Sunday,High
2016-02-20 00:00:00,3,8,0,Saturday,Low
2017-04-24 00:00:00,3,32,0,Monday,High
2016-03-30 16:00:00,1,46,16,Wednesday,High
2016-08-27 07:00:00,3,9,7,Saturday,Low
2016-08-25 02:00:00,3,8,2,Thursday,Low
2016-10-31 03:00:00,3,4,3,Monday,Low
2016-10-08 00:00:00,3,12,0,Saturday,Low
2016-07-06 01:00:00,1,35,1,Wednesday,High
2016-09-20 21:00:00,2,16,21,Tuesday,Low
2017-03-18 21:00:00,1,59,21,Saturday,High
2016-10-18 15:00:00,2,18,15,Tuesday,Low
2016-08-19 23:00:00,1,44,23,Friday,High
2017-01-03 12:00:00,2,16,12,Tuesday,Low
2015-12-21 07:00:00,2,9,7,Monday,Low
2016-04-15 23:00:00,2,15,23,Friday,Low
2017-01-15 01:00:00,1,37,1,Sunday,High
2016-01-22 05:00:00,1,13,5,Friday,Low
2015-11-01 13:00:00,2,6,13,Sunday,Low
2017-02-24 11:00:00,2,24,11,Friday,Medium
2016-11-08 06:00:00,1,36,6,Tuesday,High
2016-11-01 01:00:00,1,52,1,Tuesday,High
2017-06-10 11:00:00,1,58,11,Saturday,High
2017-03-25 20:00:00,3,41,20,Saturday,High
2016-12-06 12:00:00,1,73,12,Tuesday,High
2017-05-02 11:00:00,2,31,11,Tuesday,High
2016-06-12 01:00:00,2,7,1,Sunday,Low
2016-02-02 11:00:00,2,13,11,Tuesday,Low
2016-08-15 21:00:00,1,53,21,Monday,High
2016-07-13 07:00:00,3,5,7,Wednesday,Low
2015-11-05 00:00:00,3,6,0,Thursday,Low
2017-06-13 11:00:00,1,115,11,Tuesday,High
2016-08-08 06:00:00,3,5,6,Monday,Low
2016-11-15 04:00:00,1,41,4,Tuesday,High
2016-04-21 22:00:00,1,32,22,Thursday,High
2016-12-05 06:00:00,1,35,6,Monday,High
2017-01-24 19:00:00,1,84,19,Tuesday,High
2016-06-12 00:00:00,2,7,0,Sunday,Low
2016-02-22 17:00:00,1,38,17,Monday,High
2016-08-17 17:00:00,2,14,17,Wednesday,Low
2017-02-21 16:00:00,4,8,16,Tuesday,Low
2016-01-25 21:00:00,3,14,21,Monday,Low
2016-11-15 21:00:00,2,16,21,Tuesday,Low
2017-03-31 14:00:00,3,32,14,Friday,High
2017-01-22 00:00:00,2,11,0,Sunday,Low
2015-11-15 12:00:00,2,6,12,Sunday,Low
2016-12-22 06:00:00,1,33,6,Thursday,High
2016-10-17 14:00:00,2,22,14,Monday,Medium
2016-07-21 18:00:00,1,65,18,Thursday,High
2017-04-16 05:00:00,3,5,5,Sunday,Low
2017-02-17 19:00:00,3,15,19,Friday,Low
2017-06-27 04:00:00,4,1,4,Tuesday,Low
2015-12-02 17:00:00,1,28,17,Wednesday,Medium
2016-06-29 11:00:00,3,14,11,Wednesday,Low
2016-06-01 22:00:00,1,48,22,Wednesday,High
2016-06-12 03:00:00,3,3,3,Sunday,Low
2016-07-13 11:00:00,3,15,11,Wednesday,Low
2016-07-24 11:00:00,3,38,11,Sunday,High
2017-01-16 20:00:00,3,27,20,Monday,Medium
2016-12-07 04:00:00,1,41,4,Wednesday,High
2017-06-06 18:00:00,3,22,18,Tuesday,Medium
2016-10-12 12:00:00,2,19,12,Wednesday,Low
2016-06-26 16:00:00,3,8,16,Sunday,Low
2016-03-30 03:00:00,2,10,3,Wednesday,Low
2016-02-27 09:00:00,1,23,9,Saturday,Medium
2016-08-28 01:00:00,1,26,1,Sunday,Medium
2016-07-20 23:00:00,1,51,23,Wednesday,High
2017-06-04 19:00:00,4,4,19,Sunday,Low
2017-02-18 14:00:00,2,12,14,Saturday,Low
2016-08-03 07:00:00,2,6,7,Wednesday,Low
2016-04-21 10:00:00,3,36,10,Thursday,High
2017-02-25 18:00:00,3,39,18,Saturday,High
2016-02-11 00:00:00,1,32,0,Thursday,High
2016-08-05 15:00:00,1,56,15,Friday,High
2015-11-14 02:00:00,1,15,2,Saturday,Low
2017-05-12 15:00:00,2,30,15,Friday,Medium
2016-06-17 23:00:00,1,42,23,Friday,High
2016-05-07 13:00:00,1,26,13,Saturday,Medium
2017-01-30 07:00:00,1,51,7,Monday,High
2016-07-27 05:00:00,2,12,5,Wednesday,Low
2017-05-24 08:00:00,2,21,8,Wednesday,Medium
2017-02-28 03:00:00,3,12,3,Tuesday,Low
2017-01-04 17:00:00,1,69,17,Wednesday,High
2017-06-20 03:00:00,1,51,3,Tuesday,High
2017-06-17 10:00:00,3,17,10,Saturday,Low
2016-02-17 14:00:00,1,46,14,Wednesday,High
2016-07-22 04:00:00,1,23,4,Friday,Medium
2017-05-29 15:00:00,2,38,15,Monday,High
2016-01-07 18:00:00,1,27,18,Thursday,Medium
2016-09-28 07:00:00,1,37,7,Wednesday,High
2016-05-08 20:00:00,1,39,20,Sunday,High
2017-03-20 05:00:00,1,38,5,Monday,High
2015-12-11 20:00:00,3,5,20,Friday,Low
2016-05-05 17:00:00,3,13,17,Thursday,Low
2017-04-25 21:00:00,2,37,21,Tuesday,High
2016-12-27 19:00:00,1,64,19,Tuesday,High
2017-04-01 14:00:00,1,49,14,Saturday,High
2017-04-22 13:00:00,1,48,13,Saturday,High
2016-10-03 18:00:00,3,16,18,Monday,Low
2016-09-17 21:00:00,3,15,21,Saturday,Low
2017-01-02 10:00:00,1,58,10,Monday,High
2017-03-28 18:00:00,4,9,18,Tuesday,Low
2017-06-02 15:00:00,2,32,15,Friday,High
2017-04-05 06:00:00,2,16,6,Wednesday,Low
2016-12-28 14:00:00,3,16,14,Wednesday,Low
2017-03-26 03:00:00,1,35,3,Sunday,High
2016-07-16 07:00:00,1,20,7,Saturday,Medium
2017-03-28 19:00:00,1,92,19,Tuesday,High
2017-04-23 05:00:00,3,7,5,Sunday,Low
2016-05-20 09:00:00,1,36,9,Friday,High
2016-10-28 20:00:00,1,71,20,Friday,High
2017-04-06 21:00:00,3,20,21,Thursday,Medium
2016-10-09 18:00:00,1,46,18,Sunday,High
2016-05-29 16:00:00,2,11,16,Sunday,Low
2016-11-24 06:00:00,3,11,6,Thursday,Low
2016-11-25 08:00:00,3,5,8,Friday,Low
2016-07-01 11:00:00,3,9,11,Friday,Low
2016-09-30 08:00:00,1,38,8,Friday,High
2016-12-20 20:00:00,1,70,20,Tuesday,High
2017-06-05 12:00:00,1,106,12,Monday,High
2017-03-31 18:00:00,3,33,18,Friday,High
2016-04-04 07:00:00,2,7,7,Monday,Low
2017-04-12 00:00:00,3,17,0,Wednesday,Low
2016-03-10 23:00:00,1,33,23,Thursday,High
2016-12-17 09:00:00,1,34,9,Saturday,High
2017-01-10 05:00:00,3,10,5,Tuesday,Low
2015-12-06 04:00:00,2,4,4,Sunday,Low
2017-02-14 18:00:00,3,13,18,Tuesday,Low
2017-04-17 08:00:00,4,6,8,Monday,Low
2016-12-11 15:00:00,2,12,15,Sunday,Low
2017-03-09 00:00:00,3,11,0,Thursday,Low
2016-11-13 18:00:00,2,11,18,Sunday,Low
2017-05-15 19:00:00,4,6,19,Monday,Low
2016-12-31 04:00:00,1,26,4,Saturday,Medium
2015-11-15 01:00:00,3,4,1,Sunday,Low
2017-04-24 17:00:00,4,8,17,Monday,Low
2016-05-25 10:00:00,2,13,10,Wednesday,Low
2017-05-15 12:00:00,1,112,12,Monday,High
2016-05-27 19:00:00,1,39,19,Friday,High
2016-09-29 04:00:00,1,31,4,Thursday,High
2016-06-27 02:00:00,1,20,2,Monday,Medium
2016-07-09 03:00:00,2,8,3,Saturday,Low
2016-04-06 13:00:00,1,39,13,Wednesday,High
2016-05-05 02:00:00,3,7,2,Thursday,Low
2015-11-27 07:00:00,1,9,7,Friday,Low
2017-03-27 20:00:00,1,95,20,Monday,High
2016-10-29 14:00:00,1,33,14,Saturday,High
2017-01-21 16:00:00,1,50,16,Saturday,High
2016-01-14 06:00:00,2,9,6,Thursday,Low
2017-01-28 19:00:00,2,11,19,Saturday,Low
2016-10-25 09:00:00,1,54,9,Tuesday,High
2017-06-29 21:00:00,2,33,21,Thursday,High
2016-06-14 09:00:00,1,35,9,Tuesday,High
2015-11-02 02:00:00,1,14,2,Monday,Low
2016-07-15 23:00:00,1,44,23,Friday,High
2016-08-08 05:00:00,2,7,5,Monday,Low
2016-11-05 23:00:00,2,15,23,Saturday,Low
2016-04-25 16:00:00,2,16,16,Monday,Low
2016-06-25 20:00:00,1,35,20,Saturday,High
2016-11-10 11:00:00,1,65,11,Thursday,High
2016-07-23 22:00:00,3,48,22,Saturday,High
2016-11-25 21:00:00,3,13,21,Friday,Low
2017-01-04 02:00:00,2,11,2,Wednesday,Low
2017-04-17 21:00:00,1,83,21,Monday,High
2017-01-30 19:00:00,3,18,19,Monday,Low
2016-06-22 22:00:00,1,42,22,Wednesday,High
2016-06-13 17:00:00,3,11,17,Monday,Low
2016-05-16 07:00:00,1,24,7,Monday,Medium
2017-05-02 03:00:00,2,22,3,Tuesday,Medium
2016-06-04 04:00:00,3,3,4,Saturday,Low
2017-05-01 10:00:00,4,5,10,Monday,Low
2017-02-28 15:00:00,1,86,15,Tuesday,High
2016-06-23 16:00:00,1,51,16,Thursday,High
2017-04-07 14:00:00,3,25,14,Friday,Medium
2016-05-13 01:00:00,3,5,1,Friday,Low
2015-11-10 21:00:00,1,36,21,Tuesday,High
2016-04-14 23:00:00,2,12,23,Thursday,Low
2017-05-03 18:00:00,2,36,18,Wednesday,High
2016-07-26 21:00:00,1,57,21,Tuesday,High
2017-04-26 20:00:00,2,40,20,Wednesday,High
2016-07-05 18:00:00,3,10,18,Tuesday,Low
2017-02-04 15:00:00,3,14,15,Saturday,Low
2017-05-25 04:00:00,1,41,4,Thursday,High
2016-03-22 02:00:00,3,8,2,Tuesday,Low
2016-10-15 20:00:00,3,103,20,Saturday,High
2017-02-20 20:00:00,2,26,20,Monday,Medium
2017-03-26 17:00:00,1,48,17,Sunday,High
2016-01-11 05:00:00,3,2,5,Monday,Low
2017-02-10 17:00:00,4,12,17,Friday,Low
2016-04-10 15:00:00,1,23,15,Sunday,Medium
2017-03-22 22:00:00,1,91,22,Wednesday,High
2016-08-08 16:00:00,3,17,16,Monday,Low
